Name of City,Total number of Fatal Accidents - 2011,All Accidents - 2011,Persons Killed - 2011,Persons Injured - 2011,Total number of Fatal Accidents - 2012,All Accidents - 2012,Persons Killed - 2012,Persons Injured - 2012,Fatal Accidents - 2013,Total Accidents - 2013,Killed - 2013,Injured - 2013,Severity - 2013,Fatal Accidents - 2014,Greviously Injured Accidents - 2014,Minor Accidents - 2014,Non-Injurey Accidents - 2014,Total Accidents - 2014,Killed - 2014,Injured - 2014,Severity - 2014,Fatal Accidents - 2015,Greviously Injured Accidents - 2015,Minor Accidents - 2015,Non-Injurey Accidents - 2015,Total Accidents - 2015,Killed - 2015,Injured - 2015,Severity - 2015
,336.0,1299.0,632.0,1046.0,381.0,922.0,427.0,675.0,436.0,1008.0,502.0,750.0,49.8,405.0,432.0,127.0,31.0,995.0,503.0,747.0,50.6,498.0,369.0,260.0,16.0,1143.0,474.0,650.0,41.5
,222.0,2020.0,227.0,2036.0,245.0,1850.0,251.0,1845.0,227.0,1888.0,230.0,1855.0,12.2,256.0,263.0,1123.0,0.0,1642.0,262.0,1597.0,16.0,318.0,351.0,1168.0,0.0,1837.0,328.0,1722.0,17.9
,229.0,368.0,230.0,185.0,199.0,380.0,224.0,315.0,200.0,433.0,218.0,404.0,50.3,195.0,167.0,70.0,11.0,443.0,210.0,284.0,47.4,210.0,160.0,60.0,16.0,446.0,210.0,220.0,47.1
,161.0,719.0,173.0,744.0,178.0,715.0,192.0,649.0,150.0,565.0,160.0,547.0,28.3,161.0,254.0,99.0,46.0,560.0,170.0,578.0,30.4,153.0,297.0,147.0,57.0,654.0,170.0,670.0,26.0
,689.0,6031.0,720.0,4952.0,707.0,5508.0,725.0,4527.0,733.0,5215.0,752.0,4334.0,14.4,703.0,1385.0,1934.0,982.0,5004.0,729.0,4098.0,14.6,708.0,1331.0,1899.0,896.0,4834.0,713.0,4057.0,14.7
,275.0,3459.0,299.0,2970.0,278.0,3623.0,301.0,3076.0,242.0,3294.0,257.0,2615.0,7.8,199.0,127.0,2328.0,805.0,3459.0,236.0,2601.0,6.8,222.0,207.0,2351.0,841.0,3621.0,235.0,2779.0,6.5
,253.0,1126.0,259.0,1058.0,263.0,1128.0,270.0,1004.0,245.0,1300.0,248.0,1138.0,19.1,272.0,404.0,790.0,128.0,1594.0,282.0,1465.0,17.7,238.0,483.0,664.0,128.0,1513.0,245.0,1393.0,16.2
,2007.0,7281.0,2065.0,7226.0,1822.0,6937.0,1866.0,6633.0,1778.0,7566.0,1820.0,7098.0,24.1,1629.0,352.0,6433.0,209.0,8623.0,1671.0,8283.0,19.4,1582.0,372.0,5971.0,160.0,8085.0,1622.0,8258.0,20.1
,74.0,138.0,82.0,106.0,49.0,144.0,54.0,191.0,223.0,484.0,248.0,551.0,51.2,60.0,32.0,11.0,3.0,106.0,63.0,77.0,59.4,42.0,48.0,19.0,5.0,114.0,48.0,137.0,42.1
,229.0,803.0,249.0,595.0,227.0,711.0,247.0,537.0,205.0,713.0,215.0,507.0,30.2,253.0,127.0,302.0,37.0,719.0,259.0,466.0,36.0,199.0,92.0,374.0,4.0,669.0,206.0,539.0,30.8
,495.0,1109.0,535.0,817.0,358.0,850.0,378.0,710.0,363.0,874.0,406.0,667.0,46.5,370.0,421.0,98.0,8.0,897.0,387.0,647.0,43.1,316.0,430.0,70.0,10.0,826.0,331.0,668.0,40.1
,233.0,2030.0,248.0,1626.0,213.0,1974.0,232.0,1434.0,232.0,1934.0,247.0,1470.0,12.8,200.0,135.0,1403.0,221.0,1959.0,220.0,1630.0,11.2,249.0,118.0,1498.0,275.0,2140.0,265.0,1703.0,12.4
,428.0,2651.0,441.0,2528.0,433.0,2577.0,464.0,2471.0,482.0,2591.0,493.0,2237.0,19.0,409.0,252.0,2007.0,240.0,2908.0,411.0,2561.0,14.1,425.0,484.0,1635.0,217.0,2761.0,425.0,2382.0,15.4
,407.0,4995.0,425.0,4053.0,419.0,5433.0,447.0,4419.0,388.0,5516.0,422.0,4407.0,7.7,410.0,311.0,4100.0,963.0,5784.0,439.0,4848.0,7.6,421.0,322.0,4057.0,1073.0,5873.0,444.0,4685.0,7.6
,387.0,2002.0,406.0,1915.0,374.0,1792.0,391.0,1636.0,379.0,1794.0,399.0,1525.0,22.2,410.0,751.0,479.0,280.0,1920.0,432.0,1693.0,22.5,452.0,758.0,428.0,256.0,1894.0,476.0,1661.0,25.1
,239.0,2906.0,260.0,2990.0,251.0,2919.0,275.0,2545.0,301.0,2939.0,327.0,2639.0,11.1,305.0,367.0,2090.0,362.0,3124.0,317.0,3074.0,10.1,345.0,370.0,2287.0,372.0,3374.0,365.0,3216.0,10.8
,189.0,447.0,207.0,292.0,173.0,424.0,189.0,334.0,147.0,382.0,153.0,384.0,40.1,91.0,85.0,41.0,21.0,238.0,92.0,163.0,38.7,151.0,133.0,38.0,25.0,347.0,157.0,329.0,45.2
,236.0,526.0,264.0,525.0,313.0,533.0,313.0,436.0,261.0,522.0,298.0,536.0,57.1,187.0,61.0,252.0,53.0,553.0,257.0,505.0,46.5,257.0,70.0,308.0,43.0,678.0,297.0,700.0,43.8
,171.0,1986.0,182.0,2008.0,136.0,2280.0,144.0,2431.0,147.0,2248.0,151.0,2219.0,6.7,134.0,1381.0,490.0,252.0,2257.0,136.0,2264.0,6.0,159.0,1555.0,560.0,287.0,2561.0,168.0,2721.0,6.6
,396.0,3133.0,418.0,2420.0,471.0,3937.0,498.0,3216.0,420.0,4437.0,437.0,3577.0,9.8,431.0,1591.0,1353.0,1186.0,4561.0,450.0,3604.0,9.9,412.0,1357.0,1404.0,1174.0,4347.0,422.0,3329.0,9.7
,209.0,1668.0,222.0,1811.0,197.0,1763.0,213.0,1909.0,247.0,1577.0,265.0,1659.0,16.8,206.0,1276.0,171.0,50.0,1703.0,217.0,1768.0,12.7,191.0,1233.0,101.0,36.0,1561.0,204.0,1601.0,13.1
,102.0,616.0,113.0,688.0,108.0,601.0,112.0,709.0,98.0,706.0,109.0,784.0,15.4,117.0,180.0,401.0,70.0,768.0,125.0,771.0,16.3,105.0,180.0,391.0,69.0,745.0,108.0,713.0,14.5
,52.0,557.0,55.0,833.0,74.0,618.0,78.0,814.0,55.0,593.0,58.0,737.0,9.8,72.0,201.0,261.0,36.0,570.0,77.0,909.0,13.5,65.0,262.0,259.0,38.0,624.0,67.0,796.0,10.7
,493.0,1270.0,517.0,741.0,474.0,1202.0,497.0,762.0,458.0,1254.0,473.0,762.0,37.7,515.0,413.0,302.0,126.0,1356.0,537.0,838.0,39.6,483.0,379.0,353.0,156.0,1371.0,526.0,820.0,38.4
,260.0,444.0,294.0,189.0,250.0,430.0,262.0,250.0,312.0,519.0,324.0,291.0,62.4,318.0,112.0,31.0,14.0,475.0,318.0,271.0,66.9,260.0,133.0,80.0,16.0,489.0,271.0,324.0,55.4
,123.0,685.0,125.0,656.0,121.0,839.0,127.0,835.0,140.0,695.0,145.0,668.0,20.9,100.0,27.0,519.0,45.0,691.0,101.0,643.0,14.6,208.0,15.0,768.0,46.0,1037.0,215.0,1021.0,20.7
,290.0,2694.0,324.0,3534.0,295.0,2711.0,325.0,3604.0,314.0,2653.0,354.0,3249.0,13.3,336.0,1761.0,401.0,221.0,2719.0,357.0,3305.0,13.1,332.0,1923.0,347.0,280.0,2882.0,367.0,3264.0,12.7
,539.0,25471.0,563.0,5059.0,471.0,24592.0,488.0,4543.0,481.0,23512.0,502.0,4250.0,2.1,512.0,1719.0,1606.0,18733.0,22570.0,534.0,3938.0,2.4,586.0,2034.0,1213.0,19635.0,23468.0,611.0,4029.0,2.6
,321.0,886.0,384.0,679.0,431.0,964.0,447.0,833.0,304.0,842.0,352.0,774.0,41.8,337.0,494.0,179.0,37.0,1047.0,387.0,916.0,37.0,372.0,545.0,45.0,0.0,962.0,396.0,721.0,41.2
,227.0,1231.0,236.0,1144.0,273.0,1083.0,280.0,972.0,298.0,1265.0,310.0,1237.0,24.5,263.0,409.0,445.0,32.0,1149.0,281.0,1091.0,24.5,254.0,497.0,460.0,43.0,1254.0,260.0,1233.0,20.7
,507.0,1225.0,507.0,576.0,509.0,1185.0,509.0,556.0,514.0,1214.0,514.0,567.0,42.3,493.0,407.0,154.0,139.0,1193.0,493.0,682.0,41.3,244.0,270.0,59.0,92.0,665.0,261.0,390.0,39.2
,62.0,261.0,64.0,213.0,388.0,1624.0,407.0,1392.0,388.0,1687.0,399.0,1503.0,23.7,378.0,495.0,580.0,119.0,1572.0,399.0,1402.0,25.4,419.0,568.0,367.0,89.0,1443.0,438.0,1205.0,30.4
,163.0,1039.0,172.0,1042.0,125.0,981.0,151.0,983.0,115.0,796.0,119.0,761.0,14.9,140.0,104.0,455.0,71.0,770.0,150.0,690.0,19.5,136.0,134.0,432.0,78.0,780.0,150.0,716.0,19.2
,240.0,1223.0,248.0,841.0,225.0,1146.0,229.0,867.0,213.0,971.0,227.0,740.0,23.4,246.0,404.0,215.0,109.0,974.0,267.0,817.0,27.4,251.0,386.0,179.0,87.0,903.0,257.0,773.0,28.5
,616.6666666666666,492.0,75.0,511.0,60.0,511.0,64.0,539.0,59.0,473.0,58.0,477.0,12.3,51.0,1.0,280.0,42.0,374.0,58.0,393.0,15.5,59.0,1.0,336.0,39.0,435.0,63.0,462.0,14.5
,134.0,1262.0,141.0,1343.0,119.0,1288.0,127.0,1420.0,127.0,1297.0,133.0,1400.0,10.3,103.0,830.0,291.0,93.0,1317.0,107.0,1417.0,8.1,103.0,870.0,319.0,114.0,1406.0,110.0,1538.0,7.8
,164.0,1343.0,172.0,908.0,156.0,1196.0,171.0,1071.0,175.0,1170.0,183.0,1051.0,15.6,201.0,366.0,372.0,222.0,1161.0,217.0,990.0,18.7,216.0,387.0,332.0,229.0,1164.0,229.0,984.0,19.7
,73.0,142.0,73.0,69.0,216.0,379.0,216.0,160.0,217.0,416.0,217.0,199.0,52.2,202.0,191.0,17.0,1.0,411.0,231.0,190.0,56.2,200.0,171.0,51.0,2.0,424.0,203.0,225.0,47.9
,410.0,1548.0,414.0,1286.0,634.9019607843137,4330.941176470588,664.9019607843137,3175.176470588235,630.8627450980392,4321.254901960784,666.9411764705883,3152.156862745098,25.501960784313727,614.3921568627451,1007.0980392156863,1610.5098039215686,1119.2941176470588,4351.294117647059,651.4117647058823,3254.901960784314,25.454901960784316,619.5686274509804,1056.7450980392157,1529.7254901960785,1147.8431372549019,4353.882352941177,647.5686274509804,3224.3137254901962,24.594117647058823
,616.6666666666666,4454.3,651.05,3110.75,396.0,933.0,408.0,573.0,443.0,1125.0,482.0,813.0,42.8,454.0,459.0,168.0,20.0,1101.0,481.0,758.0,43.7,455.0,389.0,159.0,16.0,1019.0,479.0,698.0,47.0
,616.6666666666666,4454.3,651.05,3110.75,95.0,152.0,95.0,71.0,92.0,135.0,98.0,76.0,72.6,89.0,55.0,19.0,2.0,165.0,94.0,125.0,57.0,94.0,37.0,16.0,3.0,150.0,99.0,89.0,66.0
,616.6666666666666,4454.3,651.05,3110.75,130.0,419.0,136.0,347.0,114.0,410.0,117.0,335.0,28.5,124.0,9.0,199.0,37.0,369.0,131.0,335.0,35.5,124.0,7.0,236.0,49.0,416.0,129.0,331.0,31.0
,616.6666666666666,4454.3,651.05,3110.75,1367.0,9663.0,1401.0,8628.0,1215.0,9705.0,1247.0,8700.0,12.8,1083.0,2748.0,4966.0,813.0,9610.0,1118.0,9355.0,11.6,859.0,2949.0,3196.0,324.0,7328.0,886.0,7320.0,12.1
,616.6666666666666,4454.3,651.05,3110.75,522.0,1257.0,564.0,958.0,472.0,1269.0,554.0,923.0,43.7,530.0,434.0,266.0,21.0,1251.0,600.0,941.0,48.0,625.0,185.0,686.0,0.0,1496.0,665.0,1077.0,44.5
,616.6666666666666,4454.3,651.05,3110.75,166.0,1270.0,174.0,1451.0,172.0,1151.0,182.0,1298.0,15.8,151.0,760.0,185.0,81.0,1177.0,159.0,1253.0,13.5,150.0,931.0,247.0,159.0,1487.0,159.0,1567.0,10.7
,616.6666666666666,4454.3,651.05,3110.75,145.0,1023.0,155.0,461.0,108.0,1127.0,134.0,616.0,11.9,165.0,280.0,175.0,450.0,1070.0,172.0,494.0,16.1,225.0,309.0,181.0,586.0,1301.0,234.0,679.0,18.0
,616.6666666666666,4454.3,651.05,3110.75,348.0,2222.0,362.0,1558.0,383.0,2242.0,394.0,1315.0,17.6,425.0,76.0,983.0,613.0,2097.0,442.0,1452.0,21.1,406.0,106.0,1048.0,629.0,2189.0,448.0,1431.0,20.5
,616.6666666666666,4454.3,651.05,3110.75,164.0,1933.0,167.0,2244.0,191.0,2000.0,195.0,2341.0,10.3,165.0,1469.0,294.0,79.0,2007.0,175.0,2371.0,8.7,159.0,1626.0,316.0,98.0,2199.0,164.0,2660.0,7.5
,616.6666666666666,4454.3,651.05,3110.75,139.0,778.0,142.0,864.0,121.0,641.0,129.0,701.0,20.1,168.0,4.0,515.0,24.0,711.0,180.0,766.0,25.3,156.0,7.0,597.0,68.0,828.0,161.0,873.0,19.4
,616.6666666666666,4454.3,651.05,3110.75,365.0,1600.0,376.0,1446.0,320.0,1496.0,339.0,1464.0,22.7,314.0,379.0,860.0,116.0,1669.0,335.0,1578.0,20.1,362.0,335.0,850.0,97.0,1644.0,379.0,1548.0,23.1
,616.6666666666666,4454.3,651.05,3110.75,371.0,1439.0,384.0,1063.0,382.0,1548.0,411.0,1229.0,26.6,329.0,720.0,228.0,288.0,1565.0,342.0,1356.0,21.9,343.0,771.0,186.0,337.0,1637.0,373.0,1313.0,22.8
,12025.0,89086.0,13021.0,62215.0,16190.0,110439.0,16955.0,80967.0,16087.0,110192.0,17007.0,80380.0,15.4,15667.0,25681.0,41068.0,28542.0,110958.0,16611.0,83000.0,15.0,15799.0,26947.0,39008.0,29270.0,111024.0,16513.0,82220.0,14.9
